scenario,period,demand
1,1,19
1,2,0
1,3,9
1,4,0
1,5,12
1,6,0
1,7,17
1,8,2
1,9,36
1,10,11
1,11,12
1,12,19
1,13,0
1,14,14
2,1,24
2,2,10
2,3,18
2,4,12
2,5,0
2,6,19
2,7,15
2,8,0
2,9,19
2,10,0
2,11,11
2,12,0
2,13,14
2,14,0
3,1,8
3,2,26
3,3,0
3,4,10
3,5,17
3,6,8
3,7,0
3,8,21
3,9,2
3,10,11
3,11,0
3,12,21
3,13,0
3,14,8
4,1,21
4,2,0
4,3,15
4,4,19
4,5,4
4,6,0
4,7,18
4,8,0
4,9,8
4,10,15
4,11,6
4,12,21
4,13,14
4,14,12
5,1,0
5,2,15
5,3,0
5,4,5
5,5,18
5,6,18
5,7,0
5,8,8
5,9,0
5,10,12
5,11,0
5,12,15
5,13,22
5,14,4
6,1,0
6,2,10
6,3,0
6,4,10
6,5,0
6,6,13
6,7,10
6,8,0
6,9,1
6,10,0
6,11,2
6,12,0
6,13,9
6,14,0
7,1,9
7,2,22
7,3,10
7,4,0
7,5,16
7,6,2
7,7,23
7,8,13
7,9,12
7,10,0
7,11,14
7,12,17
7,13,0
7,14,2
8,1,14
8,2,0
8,3,12
8,4,15
8,5,0
8,6,8
8,7,19
8,8,8
8,9,17
8,10,0
8,11,0
8,12,14
8,13,12
8,14,0
9,1,18
9,2,23
9,3,19
9,4,4
9,5,0
9,6,18
9,7,0
9,8,25
9,9,29
9,10,2
9,11,13
9,12,0
9,13,10
9,14,9
10,1,30
10,2,11
10,3,0
10,4,14
10,5,0
10,6,13
10,7,12
10,8,26
10,9,12
10,10,11
10,11,30
10,12,0
10,13,18
10,14,12
11,1,0
11,2,15
11,3,9
11,4,0
11,5,13
11,6,28
11,7,8
11,8,16
11,9,11
11,10,0
11,11,15
11,12,15
11,13,0
11,14,12
12,1,15
12,2,0
12,3,15
12,4,0
12,5,14
12,6,15
12,7,0
12,8,14
12,9,0
12,10,6
12,11,17
12,12,17
12,13,29
12,14,13
13,1,21
13,2,1
13,3,18
13,4,31
13,5,0
13,6,0
13,7,15
13,8,24
13,9,0
13,10,12
13,11,0
13,12,7
13,13,0
13,14,16
14,1,0
14,2,15
14,3,13
14,4,23
14,5,3
14,6,19
14,7,16
14,8,0
14,9,14
14,10,22
14,11,0
14,12,8
14,13,13
14,14,0
15,1,13
15,2,0
15,3,18
15,4,10
15,5,0
15,6,15
15,7,0
15,8,9
15,9,0
15,10,15
15,11,0
15,12,13
15,13,16
15,14,0
16,1,11
16,2,14
16,3,0
16,4,6
16,5,0
16,6,18
16,7,14
16,8,0
16,9,9
16,10,10
16,11,0
16,12,8
16,13,0
16,14,18
17,1,12
17,2,0
17,3,8
17,4,0
17,5,7
17,6,0
17,7,16
17,8,0
17,9,13
17,10,12
17,11,27
17,12,11
17,13,7
17,14,0
18,1,7
18,2,16
18,3,22
18,4,12
18,5,0
18,6,12
18,7,4
18,8,20
18,9,16
18,10,0
18,11,5
18,12,16
18,13,11
18,14,0
19,1,5
19,2,13
19,3,16
19,4,0
19,5,12
19,6,0
19,7,12
19,8,0
19,9,11
19,10,9
19,11,0
19,12,16
19,13,0
19,14,10
20,1,12
20,2,0
20,3,10
20,4,8
20,5,0
20,6,8
20,7,0
20,8,14
20,9,0
20,10,13
20,11,23
20,12,16
20,13,0
20,14,7
21,1,4
21,2,0
21,3,12
21,4,0
21,5,14
21,6,15
21,7,18
21,8,14
21,9,5
21,10,20
21,11,24
21,12,0
21,13,14
21,14,11
22,1,0
22,2,14
22,3,0
22,4,23
22,5,20
22,6,13
22,7,9
22,8,0
22,9,14
22,10,0
22,11,13
22,12,27
22,13,2
22,14,11
23,1,0
23,2,11
23,3,0
23,4,25
23,5,13
23,6,0
23,7,14
23,8,0
23,9,15
23,10,11
23,11,0
23,12,15
23,13,19
23,14,17
24,1,6
24,2,0
24,3,13
24,4,0
24,5,15
24,6,12
24,7,0
24,8,3
24,9,0
24,10,14
24,11,0
24,12,15
24,13,20
24,14,2
25,1,41
25,2,5
25,3,15
25,4,10
25,5,0
25,6,15
25,7,21
25,8,12
25,9,20
25,10,0
25,11,2
25,12,28
25,13,12
25,14,4
26,1,0
26,2,8
26,3,0
26,4,30
26,5,0
26,6,6
26,7,0
26,8,19
26,9,0
26,10,16
26,11,1
26,12,16
26,13,11
26,14,0
27,1,5
27,2,0
27,3,4
27,4,0
27,5,12
27,6,0
27,7,10
27,8,13
27,9,0
27,10,8
27,11,0
27,12,1
27,13,0
27,14,19
28,1,0
28,2,26
28,3,5
28,4,0
28,5,17
28,6,0
28,7,11
28,8,12
28,9,0
28,10,7
28,11,0
28,12,14
28,13,0
28,14,25
29,1,0
29,2,14
29,3,23
29,4,0
29,5,17
29,6,0
29,7,17
29,8,0
29,9,13
29,10,12
29,11,24
29,12,0
29,13,13
29,14,6
30,1,0
30,2,12
30,3,0
30,4,15
30,5,11
30,6,0
30,7,5
30,8,0
30,9,15
30,10,0
30,11,15
30,12,0
30,13,12
30,14,24
31,1,7
31,2,0
31,3,8
31,4,0
31,5,15
31,6,0
31,7,19
31,8,31
31,9,13
31,10,11
31,11,10
31,12,18
31,13,18
31,14,18
32,1,0
32,2,16
32,3,16
32,4,0
32,5,15
32,6,17
32,7,9
32,8,0
32,9,17
32,10,0
32,11,13
32,12,0
32,13,12
32,14,26
33,1,11
33,2,16
33,3,11
33,4,11
33,5,16
33,6,15
33,7,18
33,8,14
33,9,0
33,10,23
33,11,17
33,12,12
33,13,0
33,14,4
34,1,0
34,2,13
34,3,0
34,4,11
34,5,23
34,6,19
34,7,10
34,8,10
34,9,0
34,10,13
34,11,18
34,12,3
34,13,0
34,14,19
35,1,0
35,2,15
35,3,5
35,4,0
35,5,10
35,6,0
35,7,17
35,8,0
35,9,17
35,10,2
35,11,14
35,12,24
35,13,5
35,14,16
36,1,27
36,2,0
36,3,25
36,4,10
36,5,0
36,6,14
36,7,0
