scenario,period,demand
1,1,11
1,2,11
1,3,10
1,4,0
1,5,8
1,6,0
1,7,11
1,8,2
1,9,2
1,10,1
1,11,7
1,12,8
1,13,0
1,14,19
2,1,7
2,2,8
2,3,0
2,4,8
2,5,0
2,6,6
2,7,15
2,8,6
2,9,0
2,10,0
2,11,4
2,12,0
2,13,2
2,14,0
3,1,10
3,2,7
3,3,0
3,4,2
3,5,0
3,6,13
3,7,8
3,8,0
3,9,12
3,10,1
3,11,7
3,12,7
3,13,0
3,14,5
4,1,0
4,2,6
4,3,0
4,4,16
4,5,1
4,6,7
4,7,1
4,8,0
4,9,7
4,10,0
4,11,7
4,12,13
4,13,2
4,14,16
5,1,1
5,2,10
5,3,2
5,4,0
5,5,12
5,6,6
5,7,0
5,8,1
5,9,0
5,10,14
5,11,0
5,12,0
5,13,15
5,14,7
6,1,0
6,2,2
6,3,0
6,4,8
6,5,11
6,6,1
6,7,9
6,8,1
6,9,0
6,10,15
6,11,0
6,12,7
6,13,10
6,14,2
7,1,15
7,2,6
7,3,12
7,4,10
7,5,12
7,6,2
7,7,12
7,8,6
7,9,2
7,10,13
7,11,0
7,12,24
7,13,0
7,14,18
8,1,9
8,2,0
8,3,6
8,4,11
8,5,2
8,6,2
8,7,14
8,8,9
8,9,7
8,10,10
8,11,12
8,12,2
8,13,11
8,14,0
9,1,17
9,2,8
9,3,11
9,4,0
9,5,10
9,6,15
9,7,10
9,8,10
9,9,7
9,10,14
9,11,2
9,12,2
9,13,12
9,14,2
10,1,0
10,2,11
10,3,13
10,4,6
10,5,9
10,6,2
10,7,25
10,8,2
10,9,18
10,10,7
10,11,2
10,12,8
10,13,10
10,14,14
11,1,13
11,2,1
11,3,8
11,4,13
11,5,0
11,6,2
11,7,2
11,8,11
11,9,6
11,10,10
11,11,12
11,12,5
11,13,2
11,14,11
12,1,0
12,2,5
12,3,7
12,4,10
12,5,0
12,6,16
12,7,2
12,8,2
12,9,14
12,10,8
12,11,2
12,12,2
12,13,0
12,14,16
13,1,1
13,2,6
13,3,7
13,4,0
13,5,11
13,6,0
13,7,14
13,8,6
13,9,0
13,10,12
13,11,0
13,12,7
13,13,0
13,14,2
14,1,7
14,2,2
14,3,7
14,4,0
14,5,2
14,6,10
14,7,7
14,8,11
14,9,12
14,10,9
14,11,9
14,12,1
14,13,14
14,14,11
15,1,0
15,2,6
15,3,6
15,4,7
15,5,0
15,6,12
15,7,2
15,8,14
15,9,9
15,10,15
15,11,14
15,12,11
15,13,2
15,14,2
16,1,29
16,2,1
16,3,10
16,4,12
16,5,0
16,6,10
16,7,2
16,8,22
16,9,5
16,10,13
16,11,2
16,12,0
16,13,13
16,14,17
17,1,0
17,2,5
17,3,8
17,4,2
17,5,0
17,6,13
17,7,16
17,8,0
17,9,10
17,10,9
17,11,0
17,12,14
17,13,2
17,14,8
18,1,6
18,2,10
18,3,2
18,4,8
18,5,9
18,6,10
18,7,5
18,8,2
18,9,6
18,10,0
18,11,7
18,12,2
18,13,8
18,14,2
19,1,14
19,2,0
19,3,6
19,4,0
19,5,8
19,6,16
19,7,0
19,8,19
19,9,9
19,10,6
19,11,0
19,12,6
19,13,2
19,14,12
20,1,0
20,2,2
20,3,8
20,4,10
20,5,10
20,6,11
20,7,0
20,8,6
20,9,7
20,10,2
20,11,0
20,12,7
20,13,17
20,14,2
21,1,7
21,2,6
21,3,11
21,4,2
21,5,16
21,6,6
21,7,12
21,8,9
21,9,14
21,10,21
21,11,7
21,12,6
21,13,18
21,14,0
22,1,1
22,2,10
22,3,6
22,4,0
22,5,11
22,6,8
22,7,0
22,8,16
22,9,6
22,10,12
22,11,2
22,12,6
22,13,2
22,14,9
23,1,9
23,2,2
23,3,2
23,4,0
23,5,6
23,6,6
23,7,7
23,8,0
23,9,2
23,10,6
23,11,0
23,12,8
23,13,0
23,14,7
24,1,7
24,2,0
24,3,11
24,4,6
24,5,8
24,6,0
24,7,9
24,8,11
24,9,7
24,10,17
24,11,31
24,12,2
24,13,9
24,14,1
25,1,7
25,2,6
25,3,0
25,4,9
25,5,26
25,6,6
25,7,9
25,8,15
25,9,12
25,10,11
25,11,16
25,12,6
25,13,12
25,14,0
26,1,2
26,2,14
26,3,10
26,4,10
26,5,18
26,6,2
26,7,0
26,8,7
26,9,9
26,10,7
26,11,10
26,12,2
26,13,7
26,14,14
27,1,2
27,2,15
27,3,2
27,4,10
27,5,8
27,6,2
27,7,15
27,8,13
27,9,13
27,10,6
27,11,16
27,12,2
27,13,15
27,14,20
28,1,10
28,2,2
28,3,21
28,4,1
28,5,2
28,6,6
28,7,0
28,8,16
28,9,11
28,10,6
28,11,9
28,12,0
28,13,8
28,14,0
29,1,2
29,2,12
29,3,0
29,4,6
29,5,8
29,6,2
29,7,0
29,8,10
29,9,2
29,10,11
29,11,0
29,12,2
29,13,10
29,14,6
30,1,2
30,2,14
30,3,6
30,4,12
30,5,9
30,6,14
30,7,9
30,8,12
30,9,11
30,10,7
30,11,11
30,12,2
30,13,11
30,14,0
31,1,14
31,2,2
31,3,0
31,4,7
31,5,9
31,6,0
31,7,7
31,8,7
31,9,6
31,10,2
31,11,9
31,12,2
31,13,9
31,14,0
32,1,8
32,2,0
32,3,9
32,4,12
32,5,2
32,6,7
32,7,1
32,8,12
32,9,16
32,10,0
32,11,1
32,12,6
32,13,6
32,14,0
33,1,13
33,2,7
33,3,0
33,4,2
33,5,0
33,6,2
33,7,13
33,8,2
33,9,12
33,10,7
33,11,0
33,12,16
33,13,6
33,14,0
34,1,2
34,2,13
34,3,7
34,4,6
34,5,6
34,6,7
34,7,0
34,8,6
34,9,0
34,10,2
34,11,0
34,12,14
34,13,1
34,14,2
35,1,5
35,2,0
35,3,2
35,4,0
35,5,9
35,6,7
35,7,2
35,8,0
35,9,11
35,10,9
35,11,0
35,12,8
35,13,2
35,14,0
36,1,7
36,2,2
36,3,0
36,4,6
36,5,7
36,6,0
36,7,2
36,8,0
36,9,6
36,10,1
36,11,11
36,12,9
36,13,0
36,14,2
37,1,10
37,2,0
37,3,10
37,4,0
37,5,12
37,6,0
37,7,5
37,8,0
37,9,1
37,10,0
37,11,9
37,12,0
37,13,9
37,14,2
38,1,6
38,2,7
38,3,2
38,4,0
38,5,6
38,6,2
38,7,7
38,8,0
38,9,7
38,10,11
38,11,10
38,12,9
38,13,2
38,14,9
39,1,2
39,2,10
39,3,9
39,4,10
39,5,8
39,6,10
39,7,1
39,8,7
39,9,2
39,10,0
39,11,14
39,12,11
39,13,0
39,14,6
40,1,4
40,2,0
40,3,2
40,4,0
40,5,7
40,6,1
40,7,0
40,8,1
40,9,0
40,10,1
40,11,0
40,12,7
40,13,0
40,14,2
41,1,11
41,2,2
41,3,7
41,4,0
41,5,2
41,6,0
41,7,9
41,8,11
41,9,0
41,10,8
41,11,9
41,12,2
41,13,9
41,14,6
42,1,8
42,2,2
42,3,0
42,4,0
42,5,2
42,6,0
42,7,6
42,8,6
42,9,2
42,10,0
42,11,9
42,12,2
42,13,0
42,14,11
43,1,12
43,2,9
43,3,23
43,4,2
43,5,8
43,6,2
43,7,12
43,8,8
43,9,10
43,10,2
43,11,6
43,12,2
43,13,4
43,14,0
44,1,1
44,2,0
44,3,9
44,4,0
44,5,2
44,6,3
44,7,2
44,8,9
44,9,0
44,10,2
44,11,2
44,12,0
44,13,2
44,14,0
45,1,10
45,2,10
45,3,7
45,4,0
45,5,2
45,6,1
45,7,8
45,8,7
45,9,0
45,10,6
45,11,0
45,12,9
45,13,2
45,14,0
46,1,2
46,2,8
46,3,0
46,4,6
46,5,2
46,6,2
46,7,0
46,8,8
46,9,7
46,10,6
46,11,2
46,12,2
46,13,0
46,14,11
47,1,12
47,2,7
47,3,0
47,4,15
47,5,17
47,6,9
47,7,6
47,8,7
47,9,2
47,10,6
47,11,0
47,12,9
47,13,0
47,14,6
48,1,1
48,2,13
48,3,10
48,4,0
48,5,11
48,6,12
48,7,10
48,8,6
48,9,18
48,10,7
48,11,8
48,12,7
48,13,0
48,14,8
49,1,15
49,2,2
49,3,8
49,4,13
49,5,14
49,6,3
49,7,0
49,8,2
49,9,0
49,10,16
49,11,9
49,12,2
49,13,12
49,14,2
50,1,9
50,2,0
50,3,6
50,4,0
50,5,9
50,6,16
50,7,13
50,8,14
50,9,0
50,10,8
50,11,8
50,12,0
50,13,6
50,14,10
