scenario,period,demand
1,1,2
1,2,17
1,3,36
1,4,17
1,5,29
1,6,2
1,7,12
1,8,29
1,9,31
1,10,31
1,11,55
1,12,17
1,13,16
1,14,20
2,1,23
2,2,49
2,3,52
2,4,29
2,5,12
2,6,30
2,7,22
2,8,0
2,9,42
2,10,27
2,11,43
2,12,22
2,13,38
2,14,20
3,1,19
3,2,33
3,3,28
3,4,21
3,5,0
3,6,34
3,7,33
3,8,19
3,9,11
3,10,38
3,11,26
3,12,38
3,13,26
3,14,27
4,1,9
4,2,11
4,3,40
4,4,24
4,5,31
4,6,20
4,7,15
4,8,13
4,9,7
4,10,27
4,11,31
4,12,27
4,13,24
4,14,32
5,1,14
5,2,2
5,3,29
5,4,26
5,5,38
5,6,39
5,7,16
5,8,7
5,9,29
5,10,14
5,11,27
5,12,20
5,13,25
5,14,22
6,1,8
6,2,20
6,3,27
6,4,0
6,5,28
6,6,64
6,7,47
6,8,18
6,9,17
6,10,17
6,11,29
6,12,39
6,13,0
6,14,40
7,1,63
7,2,34
7,3,18
7,4,18
7,5,25
7,6,47
7,7,28
7,8,34
7,9,22
7,10,21
7,11,26
7,12,9
7,13,40
7,14,27
8,1,18
8,2,31
8,3,28
8,4,11
8,5,26
8,6,41
8,7,45
8,8,19
8,9,29
8,10,30
8,11,0
8,12,7
8,13,33
8,14,25
9,1,51
9,2,41
9,3,34
9,4,23
9,5,32
9,6,43
9,7,38
9,8,21
9,9,27
9,10,21
9,11,17
9,12,3
9,13,39
9,14,23
10,1,0
10,2,37
10,3,34
10,4,32
10,5,11
10,6,13
10,7,30
10,8,36
10,9,21
10,10,14
10,11,42
10,12,18
10,13,11
10,14,41
11,1,25
11,2,20
11,3,40
11,4,38
11,5,16
11,6,8
11,7,34
11,8,35
11,9,32
11,10,36
11,11,16
11,12,44
11,13,32
11,14,24
12,1,34
12,2,34
12,3,22
12,4,34
12,5,11
12,6,9
12,7,31
12,8,18
12,9,36
12,10,32
12,11,15
12,12,6
12,13,8
12,14,30
13,1,33
13,2,34
13,3,22
13,4,23
13,5,11
13,6,22
13,7,19
13,8,32
13,9,40
13,10,37
13,11,7
13,12,30
13,13,11
13,14,22
14,1,34
14,2,17
14,3,24
14,4,27
14,5,24
14,6,20
14,7,21
14,8,24
14,9,23
14,10,42
14,11,18
14,12,25
14,13,17
14,14,29
15,1,22
15,2,26
15,3,0
15,4,37
15,5,0
15,6,36
15,7,21
15,8,17
15,9,23
15,10,23
15,11,34
15,12,0
15,13,17
15,14,34
16,1,29
16,2,8
16,3,24
16,4,36
16,5,42
16,6,35
16,7,12
16,8,16
16,9,15
16,10,27
16,11,55
16,12,25
16,13,22
16,14,34
17,1,9
17,2,23
17,3,23
17,4,45
17,5,35
17,6,32
17,7,38
17,8,12
17,9,31
17,10,32
17,11,28
17,12,17
17,13,21
17,14,23
18,1,30
18,2,17
18,3,15
18,4,0
18,5,29
18,6,33
18,7,37
18,8,25
18,9,16
18,10,7
18,11,44
18,12,20
18,13,56
18,14,35
19,1,22
19,2,14
19,3,21
19,4,13
19,5,27
19,6,45
19,7,32
19,8,19
19,9,21
19,10,2
19,11,47
19,12,34
19,13,48
19,14,42
20,1,13
20,2,30
20,3,6
20,4,30
20,5,27
20,6,41
20,7,24
20,8,28
20,9,22
20,10,2
20,11,34
20,12,43
20,13,21
20,14,20
21,1,25
21,2,11
21,3,10
21,4,47
21,5,39
21,6,28
21,7,25
21,8,38
21,9,24
21,10,7
21,11,40
21,12,34
21,13,25
21,14,27
22,1,18
22,2,33
22,3,22
22,4,31
22,5,42
22,6,37
22,7,31
22,8,21
22,9,14
22,10,10
22,11,33
22,12,45
22,13,28
22,14,29
23,1,30
23,2,13
23,3,10
23,4,60
23,5,30
23,6,39
23,7,28
23,8,26
23,9,16
23,10,22
23,11,30
23,12,29
23,13,33
23,14,44
24,1,15
24,2,11
24,3,14
24,4,40
24,5,30
24,6,37
24,7,22
24,8,33
24,9,20
24,10,24
24,11,37
24,12,36
24,13,35
24,14,39
25,1,41
25,2,14
25,3,12
25,4,32
25,5,27
25,6,31
25,7,19
25,8,19
25,9,11
25,10,17
25,11,24
25,12,32
25,13,43
25,14,13
26,1,31
26,2,22
26,3,23
26,4,24
26,5,0
26,6,22
26,7,23
26,8,26
26,9,0
26,10,38
26,11,24
26,12,12
26,13,20
26,14,24
27,1,32
27,2,31
27,3,39
27,4,9
27,5,23
27,6,16
27,7,20
27,8,21
27,9,48
27,10,26
27,11,30
27,12,14
27,13,7
27,14,6
28,1,30
28,2,33
28,3,19
28,4,18
28,5,11
28,6,28
28,7,22
28,8,27
28,9,22
28,10,36
28,11,23
28,12,12
28,13,21
28,14,23
29,1,32
29,2,24
29,3,32
29,4,14
29,5,32
29,6,0
29,7,35
29,8,36
29,9,22
29,10,23
29,11,39
29,12,21
29,13,14
29,14,30
30,1,38
30,2,29
30,3,37
30,4,23
30,5,8
30,6,13
30,7,23
30,8,0
30,9,21
30,10,38
30,11,26
30,12,31
30,13,14
30,14,9
31,1,42
31,2,16
31,3,17
31,4,31
31,5,7
31,6,10
31,7,2
31,8,25
31,9,31
31,10,23
31,11,22
31,12,22
31,13,10
31,14,13
32,1,18
32,2,22
32,3,20
32,4,32
32,5,18
32,6,0
32,7,34
32,8,8
32,9,15
32,10,25
32,11,28
32,12,26
32,13,32
32,14,10
33,1,2
33,2,23
33,3,38
33,4,19
33,5,0
33,6,29
33,7,26
33,8,2
33,9,11
33,10,23
33,11,18
33,12,28
33,13,19
33,14,23
34,1,17
34,2,2
34,3,12
34,4,41
34,5,23
34,6,19
34,7,7
34,8,7
34,9,14
34,10,31
34,11,24
34,12,24
34,13,33
34,14,20
35,1,8
35,2,19
35,3,28
35,4,14
35,5,40
35,6,6
35,7,23
35,8,6
35,9,27
35,10,32
35,11,24
35,12,23
35,13,41
35,14,21
36,1,24
36,2,10
36,3,14
36,4,18
36,5,39
36,6,15
36,7,25
36,8,15
36,9,11
36,10,24
36,11,35
36,12,2
36,13,13
36,14,18
37,1,20
37,2,17
